iter	RMSE
1701	56938.93999
1702	56938.40024
1703	56938.21645
1704	56933.44744
1705	56932.6329
1706	56928.15173
1707	56925.54142
1708	56924.53132
1709	56921.36738
1710	56918.29229
1711	56913.14033
1712	56907.61432
1713	56905.30117
1714	56905.06888
1715	56903.54931
1716	56902.43041
1717	56899.27105
1718	56890.78522
1719	56889.61573
1720	56886.21555
1721	56883.83763
1722	56882.4453
1723	56879.85032
1724	56876.77106
1725	56875.90922
1726	56872.80068
1727	56868.88814
1728	56860.51595
1729	56857.62549
1730	56850.68548
1731	56849.53841
1732	56848.60059
1733	56847.71314
1734	56843.97521
1735	56841.99085
1736	56838.88046
1737	56836.60716
1738	56832.35294
1739	56829.87391
1740	56825.36525
1741	56824.30878
1742	56822.49045
1743	56821.80033
1744	56821.29629
1745	56820.35219
1746	56818.62485
1747	56813.24476
1748	56808.23645
1749	56806.59212
1750	56805.28516
1751	56805.20178
1752	56804.36018
1753	56801.71704
1754	56798.09245
1755	56793.96529
1756	56793.38149
1757	56791.7154
1758	56787.11642
1759	56781.34923
1760	56779.81665
1761	56778.45862
1762	56777.3683
1763	56774.0817
1764	56773.31337
1765	56770.27101
1766	56768.97873
1767	56766.04675
1768	56764.05384
1769	56763.02729
1770	56758.91893
1771	56754.83162
1772	56751.84068
1773	56749.53089
1774	56744.6839
1775	56741.50023
1776	56739.29873
1777	56736.06234
1778	56732.79858
1779	56730.96178
1780	56728.02589
1781	56725.85883
1782	56723.68779
1783	56722.03519
1784	56719.40374
1785	56715.38351
1786	56715.28251
1787	56714.59885
1788	56713.9346
1789	56712.26423
1790	56709.88679
1791	56708.98745
1792	56704.23607
1793	56700.52559
1794	56694.89337
1795	56693.4692
1796	56690.92192
1797	56686.49159
1798	56681.99291
1799	56680.70251
1800	56679.36349
1801	56678.85819
1802	56672.2306
1803	56670.71061
1804	56664.35616
1805	56660.57698
1806	56658.64063
1807	56655.95569
1808	56652.46566
1809	56650.65153
1810	56646.73921
1811	56642.0215
1812	56638.76399
1813	56636.13645
1814	56632.41568
1815	56629.56221
1816	56626.04527
1817	56625.06678
1818	56622.3569
1819	56619.53211
1820	56617.02042
1821	56613.37233
1822	56610.69302
1823	56609.58196
1824	56601.68324
1825	56600.14579
1826	56598.47985
1827	56598.0147
1828	56594.95318
1829	56592.31583
1830	56590.16692
1831	56587.83301
1832	56585.74623
1833	56581.70093
1834	56579.96825
1835	56575.27418
1836	56574.20136
1837	56572.47819
1838	56570.30906
1839	56569.32377
1840	56565.24419
1841	56564.55871
1842	56562.96183
1843	56558.04432
1844	56557.54378
1845	56555.59806
1846	56553.87237
1847	56553.13222
1848	56552.46023
1849	56549.00082
1850	56546.07886
1851	56543.08272
1852	56537.67445
1853	56536.41388
1854	56534.0076
1855	56531.23685
1856	56527.7625
1857	56524.74395
1858	56522.80101
1859	56520.86579
1860	56520.37856
1861	56515.02855
1862	56513.27043
1863	56512.29974
1864	56510.84368
1865	56507.7599
1866	56506.37974
1867	56505.83781
1868	56500.86854
1869	56497.30459
1870	56494.8206
1871	56490.38465
1872	56487.3017
1873	56485.79234
1874	56485.55443
1875	56484.17958
1876	56481.53705
1877	56479.03677
1878	56475.99416
1879	56474.54497
1880	56473.51314
1881	56471.6094
1882	56468.34011
1883	56467.04482
1884	56465.74365
1885	56462.50719
1886	56456.52148
1887	56452.55863
1888	56452.39277
1889	56450.12341
1890	56448.7438
1891	56447.17486
1892	56443.37138
1893	56442.88153
1894	56441.99941
1895	56440.93967
1896	56439.41346
1897	56438.057
1898	56434.78382
1899	56432.95294
1900	56430.69256
1901	56427.46384
1902	56425.4336
1903	56422.82736
1904	56419.61577
1905	56418.62395
1906	56417.53839
1907	56414.75996
1908	56414.15857
1909	56410.36653
1910	56409.20075
1911	56408.83949
1912	56408.33763
1913	56406.99605
1914	56405.07638
1915	56403.41054
1916	56402.33445
1917	56400.51228
1918	56399.02404
1919	56397.1334
1920	56392.14478
1921	56390.68171
1922	56385.60852
1923	56383.47127
1924	56379.75532
1925	56375.92189
1926	56373.50485
1927	56372.91084
1928	56370.75552
1929	56368.79163
1930	56366.39775
1931	56362.97382
1932	56360.37252
1933	56358.78353
1934	56356.75668
1935	56349.33469
1936	56348.2908
1937	56347.73366
1938	56345.13947
1939	56338.54692
1940	56336.74224
1941	56335.35985
1942	56334.35481
1943	56331.85387
1944	56329.20028
1945	56326.65413
1946	56323.24539
1947	56323.10653
1948	56320.02029
1949	56318.96217
1950	56317.55001
1951	56314.2483
1952	56312.74017
1953	56311.7445
1954	56308.44637
1955	56305.68408
1956	56301.52474
1957	56300.36258
1958	56298.73277
1959	56298.38449
1960	56297.12639
1961	56294.65118
1962	56292.3559
1963	56289.09185
1964	56287.61044
